bin,count,pcc_t,se_t,mse_t,p_pcc_t,pcc_af,se_af,mse_af,p_pcc_af,pcc_tas,se_tas,mse_tas,p_pcc_tas,pcc_taf,pcc_ttas,rz_t,rz_af,rz_tas,p_z_t,p_z_af,p_z_tas
90,84,0.74,0.07,2.6,9.0e-16,0.73,0.08,2.77,2.3e-15,0.39,0.1,4.16,2.6e-04,0.81,0.38,1,0.40964145494423765,5.101063609397578e-05,1,0.40964145494423765,0.00017003545364658595
80,140,0.76,0.06,2.47,2.7e-27,0.65,0.06,3.12,2.6e-18,0.55,0.07,3.54,3.1e-12,0.72,0.56,1,0.004145564698712755,4.8275085968055104e-05,1,0.006909274497854593,0.00017003545364658595
70,124,0.7,0.06,2.53,6.5e-20,0.8,0.05,2.12,2.2e-29,0.46,0.08,3.56,7.1e-08,0.74,0.6,1,0.005273443774557888,4.6102124902823646e-05,1,0.007533491106511269,0.00017003545364658595
50,49,0.8,0.09,2.63,8.0e-12,0.78,0.09,2.71,2.5e-11,0.56,0.12,4.17,2.5e-05,0.77,0.68,1,0.3583369719988624,0.0009110158693252742,1,0.39815219110984706,0.0022775396733131855
30-40,70,0.42,0.11,4.43,3.3e-04,0.71,0.09,2.54,6.2e-12,0.51,0.1,3.64,8.2e-06,0.45,0.14,1,0.0012134806545645077,0.249182866924668,1,0.0024269613091290154,0.311478583655835
